"filename", "language", "JavaScript", "JSON", "XML", "JavaScript JSX", "CSS", "comment", "blank", "total"
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/App.css", "CSS", 0, 0, 0, 0, -40, 0, -7, -47
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/assets/diamond-3.0.svg", "XML", 0, 0, -173, 0, 0, -1, -1, -175
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/assets/diamond_with_circles.svg", "XML", 0, 0, -70, 0, 0, -1, -2, -73
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/index.css", "CSS", 0, 0, 0, 0, -280, -63, -33, -376
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/main.jsx", "JavaScript JSX", 0, 0, 0, -20, 0, 0, -2, -22
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/Scrubber.jsx", "JavaScript JSX", 0, 0, 0, -8, 0, -1, -3, -12
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/form-questions.js", "JavaScript", -33, 0, 0, 0, 0, 0, -1, -34
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/question-bank-v2.js", "JavaScript", -663, 0, 0, 0, 0, 0, -4, -667
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/question-bank-v3-scrubbed.js", "JavaScript", -678, 0, 0, 0, 0, -18, -2, -698
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/question-bank.js", "JavaScript", -734, 0, 0, 0, 0, 0, -4, -738
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/question-scrubber.js", "JavaScript", -40, 0, 0, 0, 0, -1, -5, -46
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/questions-raw.js", "JavaScript", -339, 0, 0, 0, 0, 0, -1, -340
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/large_ent.json", "JSON", 0, -122, 0, 0, 0, 0, -1, -123
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/lms.json", "JSON", 0, -41, 0, 0, 0, 0, -1, -42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/medium_ent.json", "JSON", 0, -122, 0, 0, 0, 0, -1, -123
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/mock-results.js", "JavaScript", -309, 0, 0, 0, 0, 0, -1, -310
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/pm.json", "JSON", 0, -41, 0, 0, 0, 0, -1, -42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/results-old.js", "JavaScript", -2674, 0, 0, 0, 0, 0, -1, -2675
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/results-scrubber.js", "JavaScript", -45, 0, 0, 0, 0, -25, -6, -76
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/results.jsx", "JavaScript JSX", 0, 0, 0, -13070, 0, 0, -2, -13072
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/scoring-service.js", "JavaScript", -92, 0, 0, 0, 0, -18, -14, -124
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/small_ent.json", "JSON", 0, -122, 0, 0, 0, 0, -1, -123
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/ta.json", "JSON", 0, -41, 0, 0, 0, 0, -1, -42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/tm.json", "JSON", 0, -41, 0, 0, 0, 0, -1, -42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/vms.json", "JSON", 0, -41, 0, 0, 0, 0, -1, -42
"/Users/ianhrydziuszko/work-repos/mini-assess-v2/src/modules/results/wp.json", "JSON", 0, -41, 0, 0, 0, 0, 0, -41
"Total", "-", -5607, -612, -243, -13098, -320, -128, -97, -20105